CONST, CONST
x, ident
>=, simbolo_maior_igual
2.4, <ERRO_LEXICO>
VAR, VAR
a@!xxx, <ERRO_LEXICO>
b, ident
c, ident
;, simbolo_ponto_virgula
b, ident
=, simbolo_igual
>, simbolo_maior
0.1, <ERRO_LEXICO>
b, ident
<>, simbolo_diferente
2.77.1, <ERRO_LEXICO>
K@77, <ERRO_LEXICO>
<>, simbolo_diferente
10.661, <ERRO_LEXICO>
;, simbolo_ponto_virgula
BEGIN, BEGIN
a, ident
:=, simbolo_atribuicao
0411, <ERRO_LEXICO>
;, simbolo_ponto_virgula
b, ident
:=, simbolo_atribuicao
0, numero
;, simbolo_ponto_virgula
c, ident
:=, simbolo_atribuicao
@, <ERRO_LEXICO>
+, simbolo_mais
40, numero
END, END
., simbolo_ponto
